Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,4.180000,4.200000,4.130000,4.180000,4.180000,302008522
2016-06-07,4.230000,4.270000,4.210000,4.260000,4.260000,293437236
2016-06-08,4.260000,4.300000,4.220000,4.280000,4.280000,204479146
2016-06-10,4.280000,4.280000,4.180000,4.190000,4.190000,245402096
2016-06-13,4.130000,4.140000,4.080000,4.110000,4.110000,267152388
2016-06-14,4.090000,4.160000,4.080000,4.130000,4.130000,193632688
2016-06-15,4.050000,4.140000,4.050000,4.110000,4.110000,231824188
2016-06-16,4.080000,4.100000,4.030000,4.050000,4.050000,324012700
2016-06-17,4.060000,4.120000,4.040000,4.110000,4.110000,375170064
2016-06-20,4.150000,4.220000,4.120000,4.200000,4.200000,201824898
2016-06-21,4.190000,4.300000,4.180000,4.290000,4.290000,341122204
2016-06-22,4.290000,4.400000,4.270000,4.380000,4.380000,465685621
2016-06-23,4.400000,4.470000,4.370000,4.450000,4.450000,526655766
2016-06-24,4.300000,4.460000,4.200000,4.310000,4.310000,967336026
2016-06-27,4.250000,4.450000,4.250000,4.410000,4.410000,393788128
2016-06-28,4.350000,4.430000,4.350000,4.410000,4.410000,442621905
2016-06-29,4.160000,4.250000,4.160000,4.240000,4.240000,370796234
2016-06-30,4.280000,4.300000,4.250000,4.290000,4.290000,335492491
2016-07-04,4.290000,4.340000,4.270000,4.280000,4.280000,319581239
2016-07-05,4.250000,4.270000,4.190000,4.200000,4.200000,191753556
2016-07-06,4.130000,4.190000,4.100000,4.180000,4.180000,327165388
2016-07-07,4.200000,4.250000,4.160000,4.190000,4.190000,199114891
2016-07-08,4.170000,4.180000,4.110000,4.140000,4.140000,195508799
2016-07-11,4.200000,4.260000,4.190000,4.240000,4.240000,282532612
2016-07-12,4.270000,4.300000,4.220000,4.290000,4.290000,279507502
2016-07-13,4.340000,4.350000,4.290000,4.310000,4.310000,275035383
2016-07-14,4.290000,4.380000,4.290000,4.380000,4.380000,301485998
2016-07-15,4.370000,4.400000,4.320000,4.340000,4.340000,280482688
2016-07-18,4.330000,4.380000,4.310000,4.360000,4.360000,204144203
2016-07-19,4.340000,4.370000,4.310000,4.330000,4.330000,190066428
2016-07-20,4.300000,4.390000,4.300000,4.360000,4.360000,212366203
2016-07-21,4.380000,4.410000,4.360000,4.380000,4.380000,218931901
2016-07-22,4.360000,4.400000,4.350000,4.390000,4.390000,171579844
2016-07-25,4.410000,4.420000,4.310000,4.380000,4.380000,183195564
2016-07-26,4.380000,4.450000,4.360000,4.410000,4.410000,242067148
2016-07-27,4.440000,4.450000,4.360000,4.450000,4.450000,294191078
2016-07-28,4.450000,4.450000,4.370000,4.430000,4.430000,195585816
2016-07-29,4.400000,4.440000,4.370000,4.390000,4.390000,172076338
2016-08-01,4.430000,4.490000,4.420000,4.470000,4.470000,301015396
2016-08-02,4.470000,4.470000,4.470000,4.470000,4.470000,0
2016-08-03,4.370000,4.440000,4.370000,4.390000,4.390000,236711319
2016-08-04,4.440000,4.440000,4.380000,4.410000,4.410000,172796950
2016-08-05,4.440000,4.500000,4.440000,4.480000,4.480000,181341468
2016-08-08,4.520000,4.560000,4.500000,4.560000,4.560000,189859777
2016-08-09,4.560000,4.590000,4.540000,4.580000,4.580000,174644782
2016-08-10,4.600000,4.650000,4.590000,4.640000,4.640000,266493516
2016-08-11,4.620000,4.750000,4.620000,4.740000,4.740000,482387208
2016-08-12,4.780000,4.800000,4.760000,4.790000,4.790000,474115047
2016-08-15,4.770000,4.900000,4.770000,4.870000,4.870000,491604091
2016-08-16,4.860000,4.900000,4.800000,4.850000,4.850000,325879456
2016-08-17,4.830000,4.920000,4.820000,4.880000,4.880000,438252905
2016-08-18,4.900000,4.950000,4.880000,4.900000,4.900000,467325450
2016-08-19,4.930000,4.950000,4.850000,4.910000,4.910000,321973658
2016-08-22,4.890000,4.960000,4.860000,4.960000,4.960000,356256226
2016-08-23,4.920000,5.020000,4.920000,5.000000,5.000000,389793789
2016-08-24,4.970000,4.990000,4.880000,4.900000,4.900000,461746982
2016-08-25,4.900000,4.990000,4.870000,4.930000,4.930000,339313353
2016-08-26,4.950000,4.990000,4.880000,4.940000,4.940000,360331309
2016-08-29,4.900000,4.940000,4.870000,4.940000,4.940000,258657045
2016-08-30,4.970000,5.000000,4.910000,4.990000,4.990000,384928932
2016-08-31,4.950000,5.000000,4.930000,4.930000,4.930000,331215783
2016-09-01,4.910000,5.000000,4.870000,4.970000,4.970000,404522724
2016-09-02,4.960000,4.970000,4.900000,4.900000,4.900000,653255850
2016-09-05,4.940000,5.020000,4.930000,4.980000,4.980000,399767392
2016-09-06,4.970000,5.060000,4.960000,5.050000,5.050000,416392261
2016-09-07,5.020000,5.080000,5.020000,5.060000,5.060000,384415787
2016-09-08,5.060000,5.090000,5.040000,5.060000,5.060000,287716164
2016-09-09,5.060000,5.120000,5.050000,5.060000,5.060000,428494751
2016-09-12,4.950000,4.950000,4.830000,4.830000,4.830000,451920940
2016-09-13,4.920000,4.950000,4.800000,4.810000,4.810000,202757073
2016-09-14,4.840000,4.870000,4.770000,4.800000,4.800000,224683548
2016-09-15,4.810000,4.880000,4.790000,4.820000,4.820000,253144685
2016-09-19,4.820000,4.970000,4.820000,4.920000,4.920000,336653042
2016-09-20,4.890000,4.990000,4.890000,4.970000,4.970000,261962320
2016-09-21,4.960000,5.080000,4.940000,5.030000,5.030000,348449382
2016-09-22,5.090000,5.120000,4.970000,5.030000,5.030000,368065165
2016-09-23,5.050000,5.050000,4.880000,4.880000,4.880000,431091063
2016-09-26,4.860000,4.940000,4.810000,4.850000,4.850000,294457543
2016-09-27,4.880000,5.010000,4.850000,4.970000,4.970000,399359686
2016-09-28,4.940000,4.990000,4.920000,4.970000,4.970000,310738312
2016-09-29,5.040000,5.040000,4.920000,4.990000,4.990000,216710041
2016-09-30,4.910000,4.940000,4.850000,4.850000,4.850000,233258504
2016-10-03,4.950000,4.960000,4.900000,4.910000,4.910000,114681900
2016-10-04,4.910000,4.950000,4.900000,4.950000,4.950000,124558034
2016-10-05,4.960000,5.000000,4.930000,4.960000,4.960000,161523269
2016-10-06,4.990000,5.030000,4.970000,5.000000,5.000000,252528192
2016-10-07,5.040000,5.040000,4.960000,5.000000,5.000000,164123809
2016-10-11,5.000000,5.050000,4.870000,4.910000,4.910000,251881333
