,code,name,ss,trade,vwap
88,94,GREENHEART GP    HKD   ,624000,417160,0.66852564102564105
89,97,HENDERSON INV    HKD   ,1847000,1126050,0.60966432051976183
90,98,XINGFA ALUM      HKD   ,7000,11410,1.6299999999999999
91,99,WONG'S INT'L     HKD   ,179000,452400,2.5273743016759775
92,100,CLEAR MEDIA      HKD   ,551000,2946220,5.3470417422867511
93,101,HANG LUNG PPT    HKD  ,6861853,198423623,28.916915445434345
94,102,SUMMIT ASCENT    HKD   ,1581472,6765008,4.2776653649258414
95,103,SHOUGANG CENT    HKD   ,198000,58100,0.29343434343434344
96,104,ASIA COMM HOLD   HKD   ,305000,70150,0.23000000000000001
97,106,SHENZHEN HI-TEC  HKD   ,2204000,874980,0.39699637023593465
98,107,SICHUAN EXPRESS  HKD   ,2654000,6709580,2.5281009796533533
99,110,CHINA FORTUNE    HKD   ,1274000,331540,0.26023547880690739
100,111,CINDA INTL HLDG  HKD   ,262000,253380,0.96709923664122133
101,112,CHI CHEUNG       HKD   ,100000,284860,2.8485999999999998
102,113,DICKSON CONCEPT  HKD   ,18500,81225,4.3905405405405409
103,116,CHOW SANG SANG   HKD  ,703258,16179494,23.006484106828506
104,118,COSMOS MACH      HKD   ,112000,53940,0.48160714285714284
105,119,POLY PROPERTY    HKD   ,21992000,109160405,4.9636415514732626
106,120,COSMOPOL INT'L   HKD   ,560000,28000,0.050000000000000003
107,121,C.P. LOTUS       HKD   ,1080000,251840,0.23318518518518519
108,122,CROCODILE        HKD   ,683000,312500,0.45754026354319183
109,123,YUEXIU PROPERTY  HKD   ,19708248,44428720,2.254321134988762
110,124,KINGWAY BREW     HKD   ,2084000,6495060,3.1166314779270632
111,126,TAK SING ALLI    HKD   ,1138000,1350800,1.1869947275922672
112,127,CHINESE EST H    HKD  ,242714,3014573,12.420268299315243
113,128,ENM HOLDINGS     HKD   ,568000,253700,0.44665492957746478
114,129,ASIA STANDARD    HKD   ,382000,554480,1.4515183246073298
115,130,MOISELLE INT'L   HKD   ,84000,136500,1.625
116,131,CHEUK NANG HOLD  HKD   ,104000,618200,5.944230769230769
117,132,CHINA INV HOLD   HKD   ,247000,63150,0.25566801619433199
118,133,CHINA MERCHANTS  HKD  ,286000,3575440,12.501538461538461
119,135,KUNLUN ENERGY    HKD  ,13562000,225661688,16.639263235510988
120,136,MASCOTTE HOLD    HKD   ,15388000,1561748,0.10149129191577853
121,137,JINHUI HOLDINGS  HKD   ,202000,340540,1.6858415841584158
122,138,CCT TELECOM      HKD   ,27500,20750,0.75454545454545452
123,141,GREAT CHINA      HKD   ,152000,240220,1.5803947368421052
124,142,FIRST PACIFIC    HKD  ,6447222,67829528,10.520737148495895
125,143,GLOBAL TECH      HKD   ,606000,32010,0.05282178217821782
126,144,CHINA MER HOLD   HKD  ,1946746,51567930,26.489295470492813
127,145,HK BLDG &amp; LOAN   HKD   ,24000,5520,0.23000000000000001
128,147,CHAOYUE GROUP    HKD   ,225000,73100,0.32488888888888889
129,148,KINGBOARD CHEM   HKD  ,1915500,42648675,22.265035238841033
130,149,CH AGRI-PROD EX  HKD   ,49131000,13454955,0.27385876534163767
131,151,WANT WANT CHINA  HKD  ,15530911,184411323,11.873825237940002
132,152,SHENZHEN INT'L   HKD   ,38277500,36041162,0.94157565149239109
133,154,BEIJING DEV(HK)  HKD   ,3503000,6803000,1.9420496717099629
134,155,CHINA SOLAR      HKD   ,8430000,211020,0.025032028469750889
135,156,LIPPO CHINA RES  HKD   ,2380000,529360,0.22242016806722689
136,157,NATURAL BEAUTY   HKD   ,70000,47900,0.68428571428571427
137,159,BROCKMAN MINING  HKD   ,101000,48450,0.47970297029702968
138,160,HON KWOK LAND    HKD   ,58600,191860,3.2740614334470988
139,161,AVIC IHL         HKD   ,84000,235080,2.7985714285714285
140,162,CENTURY GINWA    HKD   ,9418250,18455417,1.9595378122262628
141,163,EMPEROR IHL      HKD   ,1259905,2711974,2.152522610831769
142,164,CHINA GAMMA      HKD   ,6025000,700150,0.11620746887966805
143,165,CHINA EB LTD     HKD  ,3264000,41911960,12.840674019607842
144,166,NEWTIMES ENERGY  HKD   ,1647100,1297375,0.78767227247890226
145,168,TSINGTAO BREW    HKD  ,989300,47284075,47.795486707773172
146,171,SILVER GRANT     HKD   ,100000,130180,1.3018000000000001
147,172,GOLDBOND GROUP   HKD   ,470000,132650,0.28223404255319151
148,173,K. WAH INT'L     HKD   ,9378535,39703269,4.2334190787793613
149,174,GEMINI INV       HKD   ,110605,135107,1.2215270557388906
150,175,GEELY AUTO       HKD   ,69031587,269801627,3.9083793191658769
151,176,UNITED PACIFIC   HKD   ,18118682,7087099,0.39114870496650916
152,177,JIANGSU EXPRESS  HKD   ,4928000,37717613,7.6537364042207789
153,178,SA SA INT'L      HKD   ,3786000,28545350,7.5397120972002112
154,179,JOHNSON ELEC H   HKD   ,6697000,38907492,5.8096897118112585
155,180,KADER HOLDINGS   HKD   ,98000,48380,0.49367346938775508
156,182,CHINA WINDPOWER  HKD   ,7950000,2303100,0.28969811320754718
157,183,RICHFIELD GP     HKD   ,6096000,1893760,0.31065616797900264
158,184,KECK SENG INV    HKD   ,376000,1485020,3.9495212765957448
159,185,XPRESS GROUP     HKD   ,2142000,841100,0.3926704014939309
160,187,BEIREN PRINTING  HKD   ,1124000,3049560,2.7131316725978647
161,188,SUNWAH KINGSWAY  HKD   ,610000,109800,0.17999999999999999
162,189,DONGYUE GROUP    HKD   ,10188000,47285760,4.6413191990577154
163,190,HKC (HOLDINGS)   HKD   ,141105971,34134020,0.24190344149221013
164,191,LAI SUN INT'L    HKD   ,71000,114720,1.6157746478873238
165,193,CAPITAL ESTATE   HKD   ,55000,9350,0.17000000000000001
166,194,LIU CHONG HING   HKD  ,96000,1085640,11.30875
167,195,L'SEA RESOURCES  HKD   ,6240000,2327300,0.37296474358974357
168,196,HONGHUA GROUP    HKD   ,16677000,65870090,3.9497565509384183
169,197,HENG TAI         HKD   ,3978541,668809,0.16810408639750099
170,198,SMI CORP         HKD   ,4000625,680104,0.16999943758787689
171,199,ITC PPT-1000     HKD   ,225080,741205,3.2930735738404122
172,200,MELCO INT'L DEV  HKD  ,8911050,122649295,13.76373098568631
173,201,MAGNIFICENT      HKD   ,1826050,831832,0.45553626680539966
174,202,INTERCHINA HOLD  HKD   ,1260000,518550,0.41154761904761905
175,206,TSC GROUP        HKD   ,3762000,8619350,2.2911616161616162
176,207,HK PARKVIEW      HKD   ,496000,1746160,3.520483870967742
177,208,POLYTEC ASSET    HKD   ,3915000,3909150,0.9985057471264368
178,210,DAPHNE INT'L     HKD   ,702000,6882220,9.8037321937321931
179,211,STYLAND HOLD     HKD   ,7890000,942050,0.1193979721166033
180,212,NANYANG HOLD     HKD  ,1500,47250,31.5
181,213,NATIONAL ELEC H  HKD   ,65750,69467,1.0565323193916349
182,215,HUTCHTEL HK      HKD   ,3130000,12252580,3.9145623003194889
183,216,CHINNEY INV      HKD   ,100000,125000,1.25
184,217,CHINA CHENGTONG  HKD   ,142000,39050,0.27500000000000002
185,218,SHENYIN WANGUO   HKD   ,540000,1464400,2.711851851851852
186,220,U-PRESID CHINA   HKD   ,41914000,374062534,8.9245248365701197
187,221,PNG RESOURCES    HKD   ,19440000,5241640,0.26963168724279835
188,222,MIN XIN HOLD     HKD   ,1400000,6034880,4.3106285714285715
189,223,SRGL             HKD   ,90000,9420,0.10466666666666667
190,224,PIONEER GLOBAL   HKD   ,472000,534080,1.1315254237288135
191,225,POKFULAM         HKD  ,80000,1008000,12.6
192,226,LIPPO            HKD   ,50000,187500,3.75
193,227,FIRST SHANGHAI   HKD   ,408000,292960,0.71803921568627449
194,228,CHINA ENERGY     HKD   ,26000,3026,0.11638461538461538
195,229,RAYMOND IND      HKD   ,208000,193440,0.93000000000000005
196,230,MINMETALS LAND   HKD   ,1228000,1399780,1.139885993485342
197,231,MADEX INTL HOLD  HKD   ,36820000,4648680,0.12625420966865833
198,232,AVIC INT'L       HKD   ,1222000,386350,0.31616202945990179
199,233,MY MEDICARE      HKD   ,7900000,1195470,0.15132531645569619
200,234,NEW CENTURY GP   HKD   ,540480,83603,0.15468287448194198
201,235,CHINA STRATEGIC  HKD   ,235000,33765,0.1436808510638298
202,236,SAN MIGUEL HK    HKD   ,46000,57280,1.2452173913043478
203,237,SAFETY GODOWN    HKD  ,6000,69600,11.6
204,238,EVERGREEN INT    HKD   ,5173000,7678180,1.4842799149429731
205,239,PAK FAH YEOW     HKD   ,82500,216575,2.625151515151515
206,240,BUILD KING HOLD  HKD   ,280000,44240,0.158
207,241,CITIC 21CN       HKD   ,274000,125480,0.45795620437956203
208,242,SHUN TAK HOLD    HKD   ,5309502,22526480,4.2426728533109133
209,243,QPL INT'L        HKD   ,2000,468,0.23400000000000001
210,245,CHINA SEVENSTAR  HKD   ,28118200,2621296,0.093224175089443848
211,250,SINO-I TECH      HKD   ,16980000,467810,0.027550647820965841
212,251,SEA HOLDINGS     HKD   ,26000,134580,5.1761538461538459
213,254,CH OUTDOORMEDIA  HKD   ,9025000,563125,0.062396121883656508
214,255,LUNG KEE         HKD   ,942000,3051380,3.2392569002123142
215,256,CHINA HAIDIAN    HKD   ,5870000,4692180,0.79934923339011921
216,257,CHINA EB INT'L   HKD   ,19938280,114428525,5.739137227484016
217,260,CH ENV INV H     HKD   ,2790000,670750,0.24041218637992831
218,262,DESON DEV INT'L  HKD   ,250000,154000,0.61599999999999999
219,264,CHANCO INT'L     HKD   ,44000,14520,0.33000000000000002
220,265,SOUTH CHINA H    HKD   ,280000,84000,0.29999999999999999
221,267,CITIC PACIFIC    HKD  ,4870444,48805012,10.020649452082807
222,268,KINGDEE INT'L    HKD   ,4552000,5954840,1.3081810193321617
223,269,CRTG             HKD   ,17700000,5222000,0.2950282485875706
224,270,GUANGDONG INV    HKD   ,5261200,35785784,6.8018292404774572
225,271,DAN FORM HOLD    HKD   ,595000,571540,0.96057142857142852
226,272,SHUI ON LAND     HKD   ,6337350,21153309,3.3378792397453196
227,273,WILLIE INT'L     HKD   ,5550000,4853200,0.87445045045045044
228,275,HANNY HOLDINGS   HKD   ,535217,123966,0.23161820345766296
229,276,MONGOLIA ENERGY  HKD   ,6915000,2212670,0.31998120028922633
230,279,FREEMAN FIN      HKD   ,21320000,2384100,0.11182457786116323
231,280,KING FOOK HOLD   HKD   ,202000,196240,0.97148514851485146
232,281,RIVERA (HOLD)    HKD   ,764000,234340,0.30672774869109948
233,285,BYD ELECTRONIC   HKD   ,1516000,3560132,2.3483720316622692
234,286,G-PROP (HOLD)    HKD   ,5170300,3429489,0.6633056108929849
235,289,WING ON CO       HKD  ,19000,482900,25.41578947368421
236,290,C FORTUNE FIN    HKD   ,2074000,186938,0.09013404050144648
237,291,CHINA RESOURCES  HKD  ,4047435,93115452,23.006040121706711
238,292,ASIA STD HOTEL   HKD   ,320879,232206,0.72365595754162781
239,293,CATHAY PAC AIR   HKD  ,5392316,71367289,13.234997540945301
240,294,YANGTZEKIANG     HKD   ,20000,57300,2.8650000000000002
241,296,EMPEROR E HOTEL  HKD   ,225000,517550,2.3002222222222222
242,297,SINOFERT         HKD   ,5326000,10606690,1.9914926774314683
243,298,CHUANG'S CHINA   HKD   ,260000,127825,0.49163461538461539
244,299,SINOCOM SOFT     HKD   ,364000,317780,0.87302197802197801
245,300,KUNMING MACHINE  HKD   ,423596,989269,2.3354068499230398
246,302,WING HANG BANK   HKD  ,253521,21118407,83.300424816879072
247,303,VTECH HOLDINGS   HKD  ,269044,25586654,95.102117125823284
