,code,out_shares
368,489,2855732000
369,491,1245460891
370,493,16875056230
371,494,8360398306
372,495,752016981
373,497,9518119676
374,498,4577360572
375,500,1139531432
376,503,415000000
377,505,699501950
378,506,2797223396
379,508,2375095170
380,509,2544343333
381,510,3877859588
382,511,438000000
383,512,1962040888
384,513,5110656270
385,515,442483803
386,517,1513731429
387,518,351731298
388,519,837773826
389,521,2692141179
390,522,399244500
391,524,521000000
392,525,1431300000
393,527,974300000
394,528,626140000
395,530,6974791992
396,531,3043609773
397,533,982114035
398,535,7767374898
399,536,783691159
400,538,1088027820
401,539,1622838589
402,540,600000000
403,542,1931638040
404,543,1086206653
405,546,1741048000
406,547,9832685768
407,548,747500000
408,549,259875000
409,550,328960000
410,551,1648928486
411,552,2391420240
412,553,242000000
413,555,8460580465
414,556,800000000
415,559,3594413900
416,560,900000000
417,563,4811523189
418,564,243234200
419,565,1040602583
420,566,21695633227
421,567,480243785
422,568,256126400
423,569,1026263729
424,570,1783410807
425,571,1243212165
426,572,396662666
427,573,1021611000
428,575,3485730523
429,576,1433854500
430,577,3546628343
431,578,712673692
432,579,1637546000
433,580,1362694000
434,581,2930425000
435,582,1910020000
436,585,10020180720
437,587,3035038284
438,588,707020000
439,589,554119886
440,590,589107850
441,592,1620779394
442,595,603108419
443,596,4227440291
444,598,1787406000
445,599,300300000
446,601,1197663029
447,602,1037500002
448,603,4965406213
449,604,3729015408
450,605,3000002336
451,606,5249880788
452,609,846878000
453,610,793124034
454,611,1101665620
455,612,765120000
456,613,9305276756
457,616,411941500
458,617,1115025474
459,618,1633969016
460,620,275115408
461,622,7189655664
462,623,555685900
463,626,1097917618
464,628,2154938571
465,629,915691876
466,631,3105135000
467,633,1328824000
468,635,236414000
469,637,828750000
470,638,418748000
471,639,5301837842
472,640,569230769
473,641,551446285
474,643,446174000
475,646,2500302761
476,647,1624000000
477,650,347326000
478,651,3667994886
479,653,2991294000
480,655,1998280097
481,656,6421594500
482,657,1939414108
483,658,1362743556
484,659,3643871057
485,661,17327911186
486,662,1019200000
487,663,2984284168
488,665,1373014059
489,666,4111704320
490,668,1274038550
491,669,1828396941
492,670,3494325000
493,672,2367635400
494,673,603259665
495,677,1686906458
496,678,7772490872
497,680,68645535794
498,681,5809954136
499,683,1439868228
500,686,881908389
501,688,8172519077
502,689,3255377588
503,691,2815950200
504,692,2186648298
505,694,1879364000
506,695,512000000
507,696,932562000
508,697,8957896227
509,698,4763300000
510,700,1854400710
511,701,1888405690
512,702,12356077704
513,703,628902422
514,704,4522926292
515,705,5360617063
516,706,2138084922
517,707,1171500000
518,708,864000000
519,709,1546030518
520,710,324425204
521,711,986406285
522,712,1303890000
523,713,676417401
524,715,8968140707
525,716,2420150992
526,717,2597433816
527,718,3733562180
528,719,150000000
529,721,4657834030
530,723,7085632310
531,724,11966698582
532,726,351258880
533,728,13877410000
534,729,12254516626
535,730,1152192469
536,731,1141075827
537,732,2769463398
538,733,478518865
539,735,11482934062
540,736,441915493
541,737,3081690283
542,738,639313600
543,743,1556250000
544,745,3123830000
545,746,825000000
546,747,420400000
547,750,648813996
548,751,2802740969
549,752,1215746104
550,753,4562683364
551,754,1736003809
552,755,12437351515
553,756,1208672727
554,757,2989560566
555,758,1016167967
556,759,666190798
557,760,3228682010
558,762,23565051919
559,763,629585445
560,764,456673243
561,765,259717607
562,766,775787497
563,767,2225682121
564,769,1672643059
565,770,8905000
566,771,311403000
567,775,9611072400
568,777,505438253
569,778,1700225414
570,789,1237320323
571,794,362300000
572,800,1428847128
573,801,2271838303
574,802,597576496
575,805,6922713511
576,806,1755202800
577,808,1383838170
578,809,3263489164
579,811,441937100
580,812,1191476000
581,813,3472571464
582,814,182160000
583,815,906186000
584,816,1784877600
585,817,9161489489
586,818,2776833835
587,819,1099348000
588,821,406084829
589,822,890627400
590,823,2288061440
591,825,1686145000
592,826,1941160000
593,827,7195284615
594,829,3324120000
595,830,2155545000
596,831,739531974
597,832,2433638600
598,833,314420000
599,834,432948000
600,835,8621133752
601,836,4770710261
602,837,250000000
603,838,1679773800
604,839,497626000
605,840,202400000
606,841,400000000
607,842,1335662000
608,844,380000000
609,845,7792645623
610,846,6093451026
611,848,5370081000
612,850,4600623821
613,852,1612154000
614,853,1406211970
615,855,1443030497
616,856,1240036665
617,857,21098900000
618,858,2290000000
619,860,4366027293
620,861,1093463581
621,862,1410380690
622,864,386175758
623,866,2075120000
624,867,2414747512
625,868,3791922599
