symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct
3306.HK,6/9/2017,11:06am,89000,5.98 - 6.02,6.02,0.02,+0.33%,-1.58,-20.79%
3308.HK,6/9/2017,11:06am,2000,11.74 - 11.76,11.74,0.04,+0.34%,-0.46,-3.77%
3311.HK,6/9/2017,11:09am,2304073,12.68 - 12.88,12.8,0.18,+1.43%,-1.68,-11.60%
3313.HK,6/9/2017,11:09am,4841000,1.00 - 1.03,1.03,0.03,+3.00%,-0.24,-18.90%
3315.HK,6/9/2017,11:04am,178000,2.39 - 2.45,2.42,0.03,+1.26%,-0.63,-20.66%
3318.HK,6/9/2017,11:09am,1712000,2.17 - 2.28,2.24,0.05,+2.28%,-0.91,-28.89%
3320.HK,6/9/2017,11:09am,1430500,9.11 - 9.20,9.18,0.0,+0.00%,-0.36,-3.77%
3322.HK,6/9/2017,10:36am,56000,1.15 - 1.16,1.15,-0.01,-0.86%,-0.34,-22.82%
3323.HK,6/9/2017,11:09am,11137400,4.52 - 4.65,4.55,-0.11,-2.36%,-1.39,-23.40%
3326.HK,6/9/2017,11:06am,150000,3.28 - 3.35,3.3,0.02,+0.61%,-0.2,-5.71%
3328.HK,6/9/2017,11:09am,16177074,5.85 - 5.89,5.87,-0.03,-0.51%,-0.57,-8.85%
3329.HK,6/9/2017,11:09am,674077,2.64 - 2.66,2.65,0.0,+0.00%,-0.12,-4.33%
3330.HK,6/9/2017,10:41am,160000,1.80 - 1.82,1.82,0.0,+0.00%,-0.28,-13.33%
3331.HK,6/9/2017,10:45am,10000,15.20 - 15.34,15.34,-0.16,-1.03%,-1.56,-9.23%
3332.HK,6/9/2017,10:56am,154000,1.34 - 1.35,1.34,0.0,+0.00%,-1.56,-53.79%
3333.HK,6/9/2017,11:09am,20326002,16.40 - 17.08,16.7,0.04,+0.24%,-0.96,-5.44%
3335.HK,6/5/2013,3:59pm,0,,2.03,0.0,+0.00%,0.0,+0.00%
3336.HK,6/9/2017,11:08am,740864,3.06 - 3.12,3.07,0.01,+0.33%,-0.32,-9.44%
3337.HK,6/9/2017,11:09am,2806000,0.73 - 0.74,0.74,0.01,+1.37%,-0.47,-38.84%
3339.HK,6/9/2017,11:08am,6308000,2.32 - 2.45,2.39,0.05,+2.14%,-0.19,-7.36%
3344.HK,6/9/2017,11:07am,5520000,0.93 - 0.94,0.93,-0.01,-1.06%,-0.48,-34.04%
3355.HK,6/9/2017,11:08am,542000,0.85 - 0.87,0.86,0.0,+0.00%,-0.08,-8.51%
3360.HK,6/9/2017,11:07am,918000,6.84 - 7.02,6.9,-0.08,-1.15%,-0.95,-12.10%
3363.HK,6/9/2017,10:50am,62000,1.45 - 1.47,1.45,-0.03,-2.03%,-0.27,-15.70%
3366.HK,6/9/2017,11:03am,56000,2.80 - 2.85,2.8,-0.03,-1.06%,-0.47,-14.37%
3368.HK,6/9/2017,11:09am,1370500,1.24 - 1.27,1.24,-0.02,-1.59%,-0.2,-13.89%
3369.HK,6/9/2017,11:04am,473000,2.48 - 2.53,2.48,-0.01,-0.40%,-0.39,-13.59%
3377.HK,6/9/2017,11:09am,5060500,3.80 - 3.95,3.8,-0.12,-3.06%,-0.56,-12.84%
3378.HK,6/9/2017,11:08am,314000,1.51 - 1.53,1.52,0.0,+0.00%,-0.28,-15.56%
3380.HK,6/9/2017,11:07am,9164000,5.00 - 5.19,5.01,-0.06,-1.18%,-0.18,-3.47%
3382.HK,6/9/2017,11:06am,2112000,1.31 - 1.33,1.31,-0.01,-0.76%,-0.37,-22.02%
3383.HK,6/9/2017,11:09am,6686500,7.11 - 7.39,7.14,-0.2,-2.72%,-0.72,-9.16%
3389.HK,6/9/2017,11:00am,3908000,0.74 - 0.77,0.77,0.03,+4.05%,-0.52,-40.31%
3393.HK,6/9/2017,11:09am,642000,3.61 - 3.63,3.62,-0.01,-0.28%,-1.52,-29.57%
3395.HK,6/9/2017,11:08am,357000,1.90 - 2.13,1.91,-0.22,-10.33%,-1.83,-48.93%
3396.HK,6/9/2017,11:06am,176800,21.70 - 22.10,21.75,-0.05,-0.23%,-2.5,-10.31%
3398.HK,6/9/2017,11:08am,72000,0.45 - 0.45,0.45,-0.01,-1.10%,-0.18,-28.57%
3399.HK,6/9/2017,11:05am,100000,5.10 - 5.16,5.15,0.02,+0.39%,-1.42,-21.61%
3600.HK,6/9/2017,11:03am,100000,3.24 - 3.27,3.24,-0.06,-1.82%,-0.41,-11.23%
3606.HK,6/9/2017,11:09am,1172000,30.85 - 31.90,31.75,0.45,+1.44%,-0.15,-0.47%
3608.HK,6/7/2017,3:32pm,5000,1.78 - 1.78,1.78,0.0,+0.00%,-0.13,-6.81%
3618.HK,6/9/2017,11:09am,2399000,5.22 - 5.33,5.26,-0.06,-1.13%,-0.4,-7.07%
3623.HK,6/9/2017,10:47am,160000,1.54 - 1.56,1.54,-0.03,-1.91%,-1.66,-51.88%
3626.HK,6/9/2017,10:39am,490000,2.45 - 2.55,2.52,0.12,+5.00%,-1.22,-32.62%
3628.HK,6/7/2017,2:50pm,148000,0.60 - 0.62,0.62,0.0,+0.00%,-0.23,-27.06%
3633.HK,6/7/2017,11:18am,292000,2.07 - 2.07,2.07,0.0,+0.00%,-0.23,-10.00%
3636.HK,6/9/2017,11:08am,48700,18.50 - 18.60,18.56,-0.04,-0.22%,-4.04,-17.88%
3638.HK,6/9/2017,11:08am,1668000,0.430 - 0.440,0.435,-0.005,-1.136%,-0.285,-39.583%
3639.HK,6/9/2017,10:21am,18000,2.15 - 2.16,2.15,0.0,+0.00%,-1.16,-35.05%
3663.HK,6/8/2017,11:56am,200000,1.54 - 1.54,1.54,-0.01,-0.65%,-1.21,-44.00%
3666.HK,6/9/2017,10:48am,1482000,0.41 - 0.44,0.42,0.0,+0.00%,-0.12,-22.22%
3669.HK,6/9/2017,11:09am,1213880,7.22 - 7.38,7.38,0.16,+2.22%,-0.36,-4.65%
3678.HK,6/8/2017,3:29pm,32000,1.61 - 1.62,1.61,-0.04,-2.42%,-0.4,-19.90%
3683.HK,6/9/2017,11:03am,517500,1.22 - 1.23,1.22,-0.01,-0.81%,-0.47,-27.81%
3686.HK,6/9/2017,10:21am,140000,0.68 - 0.68,0.68,-0.01,-1.43%,-0.22,-24.44%
3688.HK,6/9/2017,11:08am,102000,2.45 - 2.48,2.45,-0.02,-0.81%,-0.55,-18.33%
3689.HK,6/9/2017,11:07am,68000,10.80 - 10.96,10.86,0.16,+1.50%,-1.84,-14.49%
3698.HK,6/9/2017,11:09am,965000,3.67 - 3.73,3.7,0.01,+0.27%,-0.5,-11.90%
3708.HK,6/9/2017,10:52am,545000,4.65 - 4.80,4.79,0.07,+1.48%,-1.51,-23.97%
3709.HK,6/9/2017,11:07am,337000,8.05 - 8.10,8.1,0.05,+0.62%,-4.98,-38.07%
3737.HK,6/9/2017,10:59am,82000,1.54 - 1.57,1.54,-0.02,-1.28%,-0.89,-36.63%
3768.HK,6/9/2017,10:38am,71000,3.08 - 3.13,3.08,0.0,+0.00%,-0.85,-21.63%
3773.HK,6/9/2017,10:52am,196000,0.90 - 0.91,0.9,-0.01,-1.10%,-0.31,-25.62%
3777.HK,10/12/2016,3:59pm,29070400,0.68 - 0.72,0.7,0.0,+0.00%,-0.12,-14.63%
3778.HK,6/8/2017,11:23am,28000,0.53 - 0.55,0.55,0.02,+3.77%,-1.15,-67.65%
3788.HK,6/9/2017,11:08am,5065000,1.19 - 1.27,1.21,-0.06,-4.72%,-0.34,-21.94%
3789.HK,6/9/2017,10:34am,72000,0.365 - 0.365,0.365,-0.005,-1.351%,-0.255,-41.129%
