symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct,avg_vol
1335.HK,6/9/2017,3:59pm,1038000,0.40 - 0.41,0.4,-0.0,-1.23%,-0.64,-61.54%,1174240.0
1336.HK,6/9/2017,4:08pm,9045802,41.80 - 43.20,42.3,-0.1,-0.24%,-0.9,-2.08%,5930910.0
1338.HK,6/9/2017,3:58pm,1160000,0.335 - 0.345,0.335,-0.005,-1.471%,-0.315,-48.462%,6003790.0
1339.HK,6/9/2017,4:08pm,27847989,3.29 - 3.34,3.3,-0.02,-0.60%,-0.18,-5.17%,25754700.0
1340.HK,6/9/2017,3:30pm,2558000,0.46 - 0.46,0.46,0.0,+1.10%,-0.35,-43.53%,8414270.0
1341.HK,6/9/2017,2:54pm,1288000,0.68 - 0.70,0.7,0.0,+0.00%,-1.2,-63.16%,
1345.HK,6/9/2017,3:59pm,1642000,2.68 - 2.77,2.68,-0.11,-3.94%,-0.62,-18.79%,1796880.0
1347.HK,6/9/2017,4:08pm,2141000,10.38 - 10.80,10.8,0.16,+1.50%,-1.0,-8.47%,1788880.0
1348.HK,6/9/2017,3:58pm,694000,0.41 - 0.43,0.43,-0.0,-1.15%,-0.35,-44.87%,2524360.0
1349.HK,6/9/2017,3:59pm,1247000,5.40 - 5.80,5.5,-0.15,-2.65%,-2.46,-30.90%,342045.0
1355.HK,6/9/2017,3:58pm,99000,1.45 - 1.47,1.47,-0.02,-1.34%,-0.18,-10.91%,1487860.0
1357.HK,6/9/2017,4:08pm,8585100,9.15 - 9.51,9.15,-0.27,-2.87%,-13.9,-60.30%,35884400.0
1358.HK,6/9/2017,3:59pm,1242000,1.65 - 1.70,1.7,0.0,+0.00%,-0.96,-36.09%,939657.0
1359.HK,6/9/2017,4:08pm,103830004,2.96 - 3.05,2.99,-0.04,-1.32%,-0.3,-9.12%,40965900.0
1360.HK,6/9/2017,3:59pm,13225000,1.50 - 1.54,1.5,-0.01,-0.66%,-0.2,-11.76%,12141600.0
1361.HK,6/9/2017,3:59pm,4152337,2.43 - 2.50,2.45,0.0,+0.00%,-0.95,-27.94%,3297140.0
1362.HK,6/8/2017,11:27am,92000,1.58 - 1.58,1.57,0.0,+0.00%,-0.48,-23.41%,58209.0
